TeamName,Abbreviation,PlayerNumbers,InjuredPlayers,InjuryNumbers,Ankle,Back,Calf,COVID19,Foot,Groin,Hamstring,Head,Knee,Knock,Muscles,Shoulder,Thigh,OthCauses,OthMembers
Arsenal,ARS,30.0,25.0,54.0,6.0,0.0,9.0,3.0,0.0,5.0,0.0,3.0,5.0,6.0,1.0,1.0,12.0,2.0,1.0
Aston Villa,AST,26.0,14.0,18.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,1.0,2.0
Brighton & Hove Albion,BHA,27.0,22.0,49.0,7.0,1.0,4.0,1.0,1.0,7.0,1.0,0.0,5.0,9.0,1.0,0.0,10.0,2.0,0.0
Burnley,BUR,23.0,20.0,54.0,7.0,3.0,5.0,0.0,2.0,6.0,2.0,2.0,3.0,7.0,0.0,1.0,13.0,1.0,2.0
Chelsea,CHE,30.0,19.0,43.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,5.0,6.0,2.0,2.0,17.0,0.0,0.0
Crystal Palace,PAL,27.0,22.0,45.0,1.0,0.0,4.0,4.0,3.0,2.0,1.0,0.0,0.0,19.0,3.0,1.0,7.0,0.0,0.0
Everton,EVE,27.0,26.0,60.0,7.0,3.0,6.0,0.0,2.0,1.0,4.0,1.0,1.0,16.0,2.0,0.0,9.0,0.0,8.0
Fulham,FUL,26.0,14.0,26.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,4.0,0.0,2.0
Leeds United,LEE,24.0,17.0,44.0,3.0,1.0,3.0,1.0,1.0,9.0,0.0,0.0,1.0,10.0,6.0,1.0,3.0,2.0,3.0
Leicester City,LEI,26.0,18.0,45.0,3.0,2.0,3.0,1.0,1.0,10.0,0.0,2.0,9.0,0.0,0.0,0.0,11.0,1.0,2.0
Liverpool,LIV,29.0,27.0,55.0,2.0,2.0,1.0,4.0,1.0,2.0,3.0,0.0,8.0,8.0,10.0,1.0,9.0,2.0,2.0
Manchester City,MNC,25.0,19.0,41.0,3.0,0.0,1.0,8.0,2.0,2.0,1.0,1.0,3.0,6.0,6.0,0.0,6.0,2.0,0.0
Manchester United,MNU,32.0,19.0,57.0,7.0,6.0,0.0,2.0,1.0,4.0,1.0,0.0,3.0,26.0,0.0,2.0,3.0,0.0,2.0
Newcastle United,NEW,26.0,24.0,64.0,5.0,0.0,6.0,4.0,1.0,10.0,1.0,0.0,5.0,12.0,2.0,2.0,13.0,2.0,1.0
Sheffield United,SHU,25.0,16.0,40.0,5.0,2.0,1.0,1.0,0.0,4.0,1.0,3.0,3.0,15.0,1.0,1.0,3.0,0.0,0.0
Southampton,SOT,23.0,21.0,43.0,3.0,0.0,4.0,1.0,1.0,3.0,2.0,2.0,3.0,7.0,4.0,0.0,11.0,0.0,2.0
Tottenham Hotspur,TOT,30.0,19.0,41.0,4.0,1.0,4.0,1.0,2.0,2.0,0.0,0.0,2.0,14.0,1.0,1.0,7.0,2.0,0.0
West Bromwich Albion,WBA,27.0,18.0,29.0,5.0,4.0,1.0,7.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,3.0,0.0,2.0
West Ham United,WHU,26.0,19.0,47.0,4.0,1.0,2.0,5.0,0.0,5.0,3.0,1.0,7.0,7.0,0.0,0.0,10.0,0.0,2.0
Wolverhampton Wanderers,WOL,25.0,16.0,32.0,1.0,0.0,1.0,4.0,1.0,4.0,1.0,2.0,6.0,6.0,2.0,1.0,1.0,1.0,1.0
,,534.0,395.0,887.0,81.0,27.0,59.0,50.0,24.0,77.0,24.0,18.0,77.0,188.0,42.0,14.0,156.0,18.0,32.0
